PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,label,split,fold
38.118076,-4.896615,-2.2106009,-15.968229,-9.256777,13.279504,5.53377,-4.2134805,1.1042225,-7.1774287,1,train,1
39.43637,-5.1191916,-2.975078,-17.76312,-10.786041,13.636,6.0987735,-3.529217,1.1315835,-7.582012,1,train,1
31.003405,-3.7904804,2.4015653,-10.147808,-3.6495817,10.428437,0.76115876,-2.9190314,3.7348943,-5.4538426,1,train,1
36.826084,-9.290648,4.3847194,-12.630258,1.6388384,13.5683775,0.30267757,-3.1834369,6.388081,-7.0370255,1,train,1
38.429188,-6.3396587,-3.1005254,-14.604497,-6.1559134,11.102105,1.2291104,-4.843038,6.77821,-8.695487,1,train,1
34.56101,-4.29354,-3.1107552,-12.116631,-7.998098,9.937682,1.6658788,-5.393582,4.991435,-8.980467,1,train,1
31.385525,-2.140632,-1.6764675,-10.234071,-6.3059044,9.425264,2.282837,-3.4525235,2.3101904,-1.260823,1,train,1
23.778194,6.015245,-1.7701595,-5.4893947,-10.312507,9.0421,-4.430104,-4.010268,-2.259628,0.6480863,1,train,1
24.864706,3.8310854,-1.4951907,-6.0607023,-9.539551,8.522418,-3.6472743,-3.9335132,-0.17135248,0.4167631,1,train,1
25.448776,1.4794742,1.8530698,-3.540437,0.00470869,9.622905,-8.616577,-4.918068,0.49596402,3.163646,1,train,1
25.83926,1.8079525,0.92756796,-4.1213207,0.39507607,9.103551,-8.715126,-3.6360264,-2.463546,1.9879608,1,train,1
18.232765,7.3945637,-0.86799866,-1.5889897,-8.130113,6.5090714,-7.00073,-4.3367763,1.2267224,-0.57080245,1,train,1
18.353432,7.385646,-0.07570907,-1.8207133,-9.933631,6.408369,-5.6424837,-4.4074264,0.7547329,0.61351746,1,train,1
24.165071,2.7390738,0.5367728,-4.1619515,-2.5126193,7.879908,-6.9871626,-3.5032675,-1.8682395,5.5493975,1,train,1
36.9212,-4.9374485,-3.564449,-15.779921,-9.082919,9.959439,6.990306,-3.547573,2.9541602,-6.244431,1,train,1
37.757915,-6.254949,-4.0146585,-16.52242,-9.440693,9.457928,8.45731,-2.8024714,1.8368493,-8.118906,1,train,1
39.19436,-12.311499,1.9614354,-12.826384,2.0587318,11.394079,2.4553242,-3.5939221,9.0767565,-7.7024612,1,train,1
39.423668,-14.647633,5.7014227,-12.2320595,9.116395,12.325683,1.0957716,-0.8201062,10.440605,-5.9861994,1,train,1
35.837425,-7.1245394,-3.4970002,-11.71759,-1.8836372,7.3511353,0.7777807,-3.9516184,7.1557302,-9.979592,1,train,1
21.952635,0.16518706,-1.8465518,-4.183614,-4.4061,5.5183454,-1.2777648,-4.2191854,2.3463912,-7.133057,1,train,1
32.064404,-5.508275,-2.2770085,-8.464089,-0.26758766,6.4791803,1.3572631,-0.87161463,2.4345858,-2.375808,1,train,1
26.183187,3.254399,-3.6764245,-6.295782,-5.9222107,7.8759136,-4.030403,-3.6262786,-2.197548,1.2992568,1,train,1
25.90935,4.08663,-4.2607894,-6.5013995,-8.669841,7.829227,-3.3227427,-4.600545,-1.2361213,-0.55037606,1,train,1
25.018532,0.9630037,0.8424076,-3.5956807,0.51789737,7.745779,-7.3940883,-3.9330785,0.64250463,1.4688658,1,train,1
24.959263,0.68114823,1.7194908,-3.3653913,1.4673408,8.517961,-7.403977,-3.8080413,-0.9781543,0.4476019,1,train,1
30.982914,0.95864713,-5.2856317,-8.859858,-8.691533,8.605249,-2.174979,-5.555202,1.8311104,-2.5907402,1,train,1
28.166119,1.7709104,-6.0060635,-6.970363,-8.031893,7.406335,-4.362014,-7.0309825,2.507808,-1.5619936,1,train,1
23.604847,3.209814,-1.6175281,-3.7400355,-0.3307172,7.307877,-7.265779,-2.805699,-3.3569992,3.5383317,1,train,1
34.86654,-5.8394814,-4.5028706,-12.532795,-3.234449,5.250677,6.063576,0.19379582,1.0809572,-6.168184,1,train,1
37.412292,-7.367384,-5.5693874,-13.7802105,-2.7070868,5.4587107,6.602532,-0.30344787,1.777822,-7.284898,1,train,1
38.49764,-12.27517,2.161713,-10.721279,5.6266913,9.224428,2.4475338,-1.3302029,8.205518,-7.869921,1,train,1
37.27045,-13.125245,2.5980823,-10.136084,10.550957,8.224512,0.4228999,0.64349735,6.87908,-6.5165668,1,train,1
30.301184,-5.767219,-3.7695675,-8.50501,1.4230825,5.0504375,-2.0153184,-2.6162503,4.77292,-9.414937,1,train,1
29.864344,-7.380206,-3.423043,-7.3324757,2.7771573,2.8346572,0.49389678,-0.2278493,5.140301,-9.464666,1,train,1
34.009876,-9.61196,-0.20264915,-10.516471,1.547316,7.442066,6.039384,0.52902645,3.7893503,-3.6587927,1,train,1
26.453352,0.91606677,-4.775091,-5.8306127,-2.375016,6.8065987,-3.0404413,-3.7469819,-1.024066,1.649952,1,train,1
25.014093,1.2436337,-5.4473248,-4.4911146,-2.2785048,5.3553157,-3.0153587,-4.278425,-0.49951187,0.76186955,1,train,1
25.246433,0.14449827,-1.3433112,-4.0257607,3.9929514,6.9512057,-5.9981904,-4.626318,1.2370162,0.63824975,1,train,1
26.281332,-0.52886885,0.5960104,-3.73128,3.6165118,7.4210496,-6.729499,-4.1234283,0.9840349,0.82513195,1,train,1
24.489487,1.4922631,-6.7023916,-3.982401,-4.199522,3.9247353,-4.9028897,-5.098524,3.3887432,-0.9281854,1,train,1
19.709986,4.5769587,-4.9164543,-1.7585505,-6.0320506,3.3136818,-5.0917864,-5.7696505,2.5617566,-0.9342233,1,train,1
